Brand,Model Name,Capacity in Tons,Cooling Capacity,Compressor,Dehumidification,Refrigerant,Indoor,Indoor Unit Weight,Outdoor,Outdoor Unit Weight,ISEER,Annual Electricity Consumption,URL,image_URL
CARRIER,18K ESTER DXi INVERTER R32 SPLIT AC_CAI18ES5R32F0,1.5 Ton,5000 W,Rotary,Yes,R - 32,94 cm x 27.5 cm x 20.5 cm,10.3 kg,79 cm x 54 cm x 28 cm,27.1 kg,5.13 W/W,754.05 kWh,https://www.flipkart.com/carrier-1-5-ton-5-star-split-inverter-ac-white/p/itm23c012a2d5f9c?pid=ACNGG54VYZXZXZ5V&lid=LSTACNGG54VYZXZXZ5VBBKCUC&marketplace=FLIPKART&q=CARRIER+1.5+Ton+5+Star+Split+Inverter+AC++-+White&store=j9e%2Fabm%2Fc54&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=395d37c5-79df-438a-8558-afdb95b5621c.ACNGG54VYZXZXZ5V.SEARCH&ppt=None&ppn=None&ssid=adxyjl2lfk0000001692377844775&qH=a42c9754bdfffb44,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/h/5/i/-original-imagha8sgzfjhvgk.jpeg?q=70']
Voltas,183V Vectra Pride(4503445),1.5 Ton,4800 W,High EER Rotary- BLDC,Yes,R-32,80 cm x 29.2 cm x 22.2 cm,9.5 kg,83.5 cm x 55.5 cm x 29.5 cm,25.5 kg,,975.26 kWh,https://www.flipkart.com/voltas-2023-model-1-5-ton-3-star-split-inverter-ac-white/p/itm1899f61b96cd2?pid=ACNGHUNG3FWVG7NJ&lid=LSTACNGHUNG3FWVG7NJWDIXNC&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=FkPickId_j9e%2Fabm%2Fc54&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGHUNG3FWVG7NJ.SEARCH&ppt=sp&ppn=sp&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/r/p/k/-original-imagkqs8xkt8hhfw.jpeg?q=70']
Voltas,185V Vectra Elegant(4503452),1.5 Ton,4850 W,High EER Rotary- BLDC,Yes,R-32,96 cm x 31.7 cm x 23.5 cm,11.1 kg,83.5 cm x 55.5 cm x 29.5 cm,25.5 kg,,751.28 kWh,https://www.flipkart.com/voltas-2023-model-1-5-ton-5-star-split-inverter-ac-white/p/itmf88b19b31614f?pid=ACNGHUNGHUAGZFUZ&lid=LSTACNGHUNGHUAGZFUZL6FNSG&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGHUNGHUAGZFUZ.SEARCH&ppt=sp&ppn=sp&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/2/7/z/-original-imagkqs8qrsyxmbu.jpeg?q=70']
Voltas,185V Vectra Elegant(4503452),1.5 Ton,4850 W,High EER Rotary- BLDC,Yes,R-32,96 cm x 31.7 cm x 23.5 cm,11.1 kg,83.5 cm x 55.5 cm x 29.5 cm,25.5 kg,,751.28 kWh,https://www.flipkart.com/voltas-2023-model-1-5-ton-5-star-split-inverter-ac-white/p/itmf88b19b31614f?pid=ACNGHUNGHUAGZFUZ&lid=LSTACNGHUNGHUAGZFUZL6FNSG&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGHUNGHUAGZFUZ.SEARCH&ppt=sp&ppn=sp&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/2/7/z/-original-imagkqs8qrsyxmbu.jpeg?q=70']
Daikin,FTL28UV16W1/RL28UV16W1/FTL28UV16W1,0.8 Ton,2800 W,Rotary Compressor,Yes,R-32,80 cm x 29.8 cm x 22.9 cm,9.5 kg,67.5 cm x 55 cm x 28.4 cm,26.5 kg,,548.84 kWh,https://www.flipkart.com/daikin-2023-model-0-8-ton-3-star-split-ac-pm-2-5-filter-white/p/itmf9dcb68481acf?pid=ACNGB2YAT4K4DQRH&lid=LSTACNGB2YAT4K4DQRHABULNH&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGB2YAT4K4DQRH.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/kzrbiq80/air-conditioner-new/x/9/6/-original-imagbp2vmjdwthw6.jpeg?q=70']
Haier,HS17V-TMS3BE-INV/HU17-3BE-INV / HSU17V-TMS3BE-INV,1.5 Ton,4600 W,Inverter,No,R - 32,95.4 cm x 35.5 cm x 27.9 cm,10 kg,85.5 cm x 60.5 cm x 35.5 cm,22 kg,3.85 W/W,925.24 kWh,https://www.flipkart.com/haier-frost-self-clean-2023-model-1-5-ton-3-star-split-inverter-cooling-extreme-temperature-super-anti-corrosion-ac-white/p/itm05d5401786ed5?pid=ACNGMF2GSYP7KKNP&lid=LSTACNGMF2GSYP7KKNPTVTN4S&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGMF2GSYP7KKNP.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/n/x/r/-original-imagpfkpmva8uq5u.jpeg?q=70']
Lloyd,GLS18I3KWSEA,1.5 Ton,5050 W,Rotary,Yes,R - 32,99.7 cm x 34.3 cm x 20.5 cm,12.1 kg,87 cm x 56 cm x 36.5 cm,26.7 kg,3.91 W/W,999.49 kWh,https://www.flipkart.com/lloyd-2023-model-1-5-ton-3-star-split-inverter-ac-white/p/itmbc9caac424b61?pid=ACNGPHRZCXEXTUHY&lid=LSTACNGPHRZCXEXTUHY5WZ1NQ&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGPHRZCXEXTUHY.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/m/m/k/-original-imagsp6bamdxpgfh.jpeg?q=70']
Godrej,EI 18PINV4R32-WWP,1.5 Ton,5250 W,Rotary,Yes,R - 32,92 cm x 32 cm x 24 cm,10.7 kg,84 cm x 56 cm x 30 cm,25 kg,4.6 W/W,883.14 kWh,https://www.flipkart.com/godrej-5-in-1-convertible-cooling-2023-model-1-5-ton-4-star-split-inverter-way-swing-tri-filtration-system-ac-white/p/itm92d4a7cacbb52?pid=ACNGMXHAWXBHVFJE&lid=LSTACNGMXHAWXBHVFJEOHRWAM&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGMXHAWXBHVFJE.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/q/2/y/-original-imagz59tfm2hgr2m.jpeg?q=70']
Lloyd,GLS18I5FWGCA,1.5 Ton,5220 W,Rotary,Yes,R - 32,97 cm x 32 cm x 22 cm,11.5 kg,89.8 cm x 59.3 cm x 36.3 cm,29.3 kg,5.09 W/W,794.34 kWh,https://www.flipkart.com/lloyd-2023-model-1-5-ton-5-star-split-inverter-ac-white/p/itm88459a00f30a2?pid=ACNGPHRZ6UQ6AQPF&lid=LSTACNGPHRZ6UQ6AQPFO4X0H1&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGPHRZ6UQ6AQPF.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/x/h/c/-original-imagsp6bhewxgexu.jpeg?q=70']
Panasonic,CS/CU-SU18YKYWT,1.5 Ton,5050 W,Inverter Compressor,Yes,R - 32,87 cm x 29 cm x 20.4 cm,9 kg,78 cm x 55.7 cm x 24.1 cm,26 kg,3.9 W/W,1002.72 kWh,https://www.flipkart.com/panasonic-convertible-7-in-1-additional-ai-mode-cooling-2023-model-1-5-ton-3-star-split-inverter-2-way-swing-pm-0-1-air-purification-filter-ac-wi-fi-connect-white/p/itm690062d929416?pid=ACNGHHH24J62PGNV&lid=LSTACNGHHH24J62PGNVODJGXG&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGHHH24J62PGNV.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/q/l/z/-original-imagn9twufudm57a.jpeg?q=70']
SAMSUNG,AR18CYLZABE/AR18CYLZABENNA/AR18CYLZABEXNA,1.5 Ton,5000 W,Digital Inverter Compressor,Yes,R-32,88.9 cm x 29.9 cm x 21.5 cm,10.1 kg,72 cm x 54.8 cm x 26.5 cm,27.8 kg,3.96 W/W,977.8 kWh,https://www.flipkart.com/samsung-convertible-5-in-1-cooling-2023-model-1-5-ton-3-star-split-inverter-ac-white/p/itm44e816c7213fc?pid=ACNGHRDQZUD2CPTZ&lid=LSTACNGHRDQZUD2CPTZI1ZDMQ&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGHRDQZUD2CPTZ.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/l/t/o/-original-imagnhu5rveas8sr.jpeg?q=70']
LG,PS-Q13ENZE,1 Ton,3470 W,Dual Rotary Compressor,Yes,R32,83.7 cm x 30.8 cm x 18.9 cm,8.1 kg,71.7 cm x 49.5 cm x 23 cm,24.5 kg,4.7 W/W,571.99 kWh,https://www.flipkart.com/lg-super-convertible-6-in-1-cooling-1-ton-5-star-split-dual-inverter-ai-4-way-swing-hd-filter-anti-virus-protection-ac-white/p/itmea826787643da?pid=ACNG9VHYTPZAUHFD&lid=LSTACNG9VHYTPZAUHFD1A61HV&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNG9VHYTPZAUHFD.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/o/n/v/-original-imaggf36gs6p98gf.jpeg?q=70']
LG,RS-Q18CNXE,1.5 Ton,4600 W,Dual Rotary Compressor,Yes,R - 32,99.8 cm x 34.5 cm x 21 cm,11 kg,71.7 cm x 49.5 cm x 23 cm,24.5 kg,4 W/W,891.27 kWh,https://www.flipkart.com/lg-2023-model-1-5-ton-3-star-split-ai-dual-inverter-ac-white/p/itm8a3f077891362?pid=ACNGQKNJKGZUUEUZ&lid=LSTACNGQKNJKGZUUEUZFEUAQZ&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGQKNJKGZUUEUZ.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/w/j/l/-original-imagmpsyat5btmhh.jpeg?q=70']
Whirlpool,Magicool 15T 3S INV CNV S3K2PP0 (SAl12P33MCP0),1.5 Ton,3600 W,Single Rotary,Yes,R - 32,94.7 cm x 31.5 cm x 23.3 cm,15 kg,84 cm x 56 cm x 30 cm,24 kg,3.98 W/W,1015.5 kWh,https://www.flipkart.com/whirlpool-convertible-4-in-1-cooling-2023-model-1-5-ton-3-star-split-inverter-6th-sense-technology-ac-white/p/itm4432212a9bfad?pid=ACNGHHW2QH6KZFCG&lid=LSTACNGHHW2QH6KZFCGTT90XC&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGHHW2QH6KZFCG.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/w/j/r/-original-imagnc4gusgenagd.jpeg?q=70']
SAMSUNG,"AR18BYMZAUR, AR18BYMZAURNNA, AR18BYMZAURXNA",1.5 Ton,5000 W,Rotary,Yes,R-32,88.9 cm x 29.9 cm x 21.5 cm,10.1 kg,72 cm x 54.8 cm x 26.5 cm,27 kg,4.12 W/W,940.09 kWh,https://www.flipkart.com/samsung-convertible-1-5-ton-3-star-split-inverter-ac-white/p/itm6ed2a8d4d1c43?pid=ACNGGXDFGGHEPXNT&lid=LSTACNGGXDFGGHEPXNT2J3OPF&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGGXDFGGHEPXNT.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/a/0/f/-original-imagjg73yqakafkz.jpeg?q=70']
Blue Star,IA318FNU,1.5 Ton,5150 W,Inverter Rotary,Yes,R 32,100 cm x 29.5 cm x 23 cm,11 kg,78.1 cm x 55.5 cm x 28.1 cm,23.3 kg,3.98 W/W,1002.84 kWh,https://www.flipkart.com/blue-star-convertible-5-1-cooling-2023-model-1-5-ton-3-split-inverter-multi-sensors-stabalizer-free-operation-self-diagnosis-dust-filter-ac-white/p/itm175cda9ee4598?pid=ACNGB663EA8ZESSU&lid=LSTACNGB663EA8ZESSU0DGMLT&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=f197ec7b-220b-43d9-ad49-11153a7a5128.ACNGB663EA8ZESSU.SEARCH&ppt=hp&ppn=homepage&ssid=z9v9hu52nk0000001692807594998&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/h/i/c/-original-imagr5z7nk3c9ffc.jpeg?q=70']
Blue Star,IA318FNU,1.5 Ton,5150 W,Inverter Rotary,Yes,R 32,100 cm x 29.5 cm x 23 cm,11 kg,78.1 cm x 55.5 cm x 28.1 cm,23.3 kg,3.98 W/W,1002.84 kWh,https://www.flipkart.com/blue-star-convertible-5-1-cooling-2023-model-1-5-ton-3-split-inverter-multi-sensors-stabalizer-free-operation-self-diagnosis-dust-filter-ac-white/p/itm175cda9ee4598?pid=ACNGB663EA8ZESSU&lid=LSTACNGB663EA8ZESSU0DGMLT&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_25&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGB663EA8ZESSU.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/h/i/c/-original-imagr5z7nk3c9ffc.jpeg?q=70']
Blue Star,IC312YNU,1 Ton,3500 W,Inverter Compressor,Yes,R-32,84.5 cm x 30 cm x 19.3 cm,10 kg,85.8 cm x 53.6 cm x 32.7 cm,23.5 kg,,704.42 kWh,https://www.flipkart.com/blue-star-2023-model-1-ton-3-split-inverter-ac-white/p/itm9ef7dee53746e?pid=ACNGN28YXY79NVM5&lid=LSTACNGN28YXY79NVM5RUDHGG&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_26&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGN28YXY79NVM5.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/w/i/x/-original-imagq54j45sxhsmw.jpeg?q=70']
Whirlpool,Magicool 15T 3S INV S3K1PP0 (SAI17P33MCP0),1.5 Ton,4900 W,Single Rotary,Yes,R-32,84.5 cm x 26.9 cm x 21.1 cm,12.5 kg,84 cm x 56 cm x 30 cm,24 kg,3.94 W/W,963.21 kWh,https://www.flipkart.com/whirlpool-convertible-4-in-1-cooling-2023-model-1-5-ton-3-star-split-inverter-6th-sense-technology-ac-white/p/itm5b28d8d4d4654?pid=ACNGHUJBX5SYRXQQ&lid=LSTACNGHUJBX5SYRXQQ9BQVFP&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_28&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGHUJBX5SYRXQQ.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/w/j/r/-original-imagnc4gusgenagd.jpeg?q=70']
Voltas,183V Vectra Prime(4503447),1.5 Ton,4800 W,High EER Rotary- BLDC,Yes,R-32,80 cm x 29.2 cm x 22.2 cm,8.5 kg,83.5 cm x 55.5 cm x 29.5 cm,25.5 kg,,975.26 kWh,https://www.flipkart.com/voltas-1-5-ton-3-star-split-inverter-ac-white/p/itm5d563eba61324?pid=ACNGHUNGGWU4FY45&lid=LSTACNGHUNGGWU4FY45IHGPH4&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_35&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGHUNGGWU4FY45.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/g/j/e/-original-imagkuhfgt2vehwg.jpeg?q=70']
Daikin,MTKL35UV16W/RKL35UV16W/MTKL35UV16W3/RKL35UV16W3,1 Ton,3520 W,Swing Compressor,Yes,R-32,80 cm x 29.8 cm x 22.9 cm,9.5 kg,67.5 cm x 55 cm x 28.4 cm,21.5 kg,,680.4 kWh,https://www.flipkart.com/daikin-2023-model-1-ton-3-star-split-inverter-ac-pm-2-5-filter-white/p/itm130f3564ba408?pid=ACNGFSYTHKTK6KEW&lid=LSTACNGFSYTHKTK6KEWNMDUTL&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_31&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGFSYTHKTK6KEW.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/e/4/d/-original-imagpkyjmgtys9ze.jpeg?q=70']
Panasonic,CS/CU-SU12XKYWA,1 Ton,3450 W,Rotary,Yes,R-32,87 cm x 29 cm x 20.4 cm,9 kg,67.2 cm x 52 cm x 24 cm,22 kg,3.95 W/W,676.37 kWh,https://www.flipkart.com/panasonic-1-ton-3-star-split-inverter-ac-wi-fi-connect-white/p/itmf0abff2f7eb15?pid=ACNGB9GHYFUMJTAJ&lid=LSTACNGB9GHYFUMJTAJOXWZGI&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_34&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGB9GHYFUMJTAJ.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70']
Voltas,183V Vectra Prime(4503447),1.5 Ton,4800 W,High EER Rotary- BLDC,Yes,R-32,80 cm x 29.2 cm x 22.2 cm,8.5 kg,83.5 cm x 55.5 cm x 29.5 cm,25.5 kg,,975.26 kWh,https://www.flipkart.com/voltas-1-5-ton-3-star-split-inverter-ac-white/p/itm5d563eba61324?pid=ACNGHUNGGWU4FY45&lid=LSTACNGHUNGGWU4FY45IHGPH4&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_35&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGHUNGGWU4FY45.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/g/j/e/-original-imagkuhfgt2vehwg.jpeg?q=70']
Whirlpool,Magicool 08T 3S INV CNV S3I1AJ0 (SAl10B33MCJ0),0.8 Ton,2800 W,Single Rotary,Yes,R - 32,80 cm x 29.5 cm x 23 cm,11 kg,67.2 cm x 52 cm x 24 cm,17 kg,3.9 W/W,748.27 kWh,https://www.flipkart.com/whirlpool-convertible-4-in-1-cooling-2023-model-0-8-ton-3-star-split-inverter-6th-sense-technology-ac-white/p/itmad25e9c5797da?pid=ACNGHHW2GGEZD3KX&lid=LSTACNGHHW2GGEZD3KXHGO9WY&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_37&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGHHW2GGEZD3KX.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/0/5/x/-original-imagnc4gtsyaufbk.jpeg?q=70']
Blue Star,IC518YNU,1.5 Ton,5000 W,Inverter Rotary,Yes,R-32,96 cm x 32 cm x 21.5 cm,11 kg,88.8 cm x 58.1 cm x 36.7 cm,27.5 kg,5.02 W/W,770.98 kWh,https://www.flipkart.com/blue-star-convertible-5-1-cooling-2023-model-1-5-ton-split-inverter-multi-sensors-stabalizer-free-operation-self-diagnosis-dust-filter-ac-white/p/itm466ad0792a882?pid=ACNGMA7HFKHFHU59&lid=LSTACNGMA7HFKHFHU59N6MLML&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_39&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGMA7HFKHFHU59.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/w/i/x/-original-imagq54j45sxhsmw.jpeg?q=70']
IFB,CI2053F323G1,1.5 Ton,5210 W,Single Rotary,Yes,R-32,101 cm x 22 cm x 31.6 cm,13 kg,78 cm x 60.3 cm x 29.2 cm,31 kg,5.05 W/W,798.18 kWh,https://www.flipkart.com/ifb-fastcool-convertible-8-in-1-cooling-2023-model-1-5-ton-5-star-split-inverter-7-stage-air-treatment-ac-wi-fi-connect-white/p/itm9b30c16e666cb?pid=ACNGNYXKUYHRRF2S&lid=LSTACNGNYXKUYHRRF2SPUX82Y&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_41&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGNYXKUYHRRF2S.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/p/n/c/-original-imagzbbhmhpuak4g.jpeg?q=70']
Blue Star,IA518FLU,1.5 Ton,5100 W,Inverter Rotary,Yes,R - 40,100 cm x 29.5 cm x 23 cm,11 kg,78.1 cm x 55.5 cm x 28.1 cm,25.3 kg,4.6 W/W,857.36 kWh,https://www.flipkart.com/blue-star-convertible-4-in-1-cooling-1-5-ton-5-split-inverter-multi-sensors-stabalizer-free-operation-self-diagnosis-dust-filter-ac-white/p/itmc57f4a65c7195?pid=ACNGB663TW9VPFZB&lid=LSTACNGB663TW9VPFZBSW5NK3&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=TrendingId_j9e%2Fabm%2Fc54&srno=s_2_43&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGB663TW9VPFZB.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/l0lbrm80/air-conditioner-new/x/t/e/-original-imagccje52mafh9g.jpeg?q=70']
Blue Star,IA315YNU,1.2 Ton,4300 W,Inverter Rotary,Yes,R-32,84.1 cm x 30 cm x 20.7 cm,10 kg,83.9 cm x 53.6 cm x 32.7 cm,24.7 kg,3.85 W/W,865.48 kWh,https://www.flipkart.com/blue-star-convertible-5-1-cooling-2023-model-1-2-ton-3-split-inverter-multi-sensors-stabalizer-free-operation-self-diagnosis-dust-filter-ac-white/p/itmfc8a3e5aeba53?pid=ACNGKH8WRK8NRHQW&lid=LSTACNGKH8WRK8NRHQWALH370&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_46&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGKH8WRK8NRHQW.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/w/i/x/-original-imagq54j45sxhsmw.jpeg?q=70']
Blue Star,IB318YKU,1.5 Ton,5010 W,Inverter Compressor,Yes,R-32,84.5 cm x 30 cm x 19.3 cm,10 kg,85.8 cm x 53.6 cm x 32.7 cm,25 kg,,1007.86 kWh,https://www.flipkart.com/blue-star-convertible-5-1-cooling-2023-model-1-5-ton-3-split-inverter-multi-sensors-stabalizer-free-operation-self-diagnosis-dust-filter-ac-white/p/itmc933e20076387?pid=ACNGHBGY3ZUJY9RA&lid=LSTACNGHBGY3ZUJY9RAYKI1F6&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_2_47&otracker=search&otracker1=search&fm=Search&iid=90028711-3074-4039-aeed-0667beb8aa2e.ACNGHBGY3ZUJY9RA.SEARCH&ppt=sp&ppn=sp&qH=e2075474294983e0,['https://rukminim2.flixcart.com/image/416/416/xif0q/air-conditioner-new/l/s/o/-original-imagph33hz7uptah.jpeg?q=70']
